ID,WizURL,Name,CVSSSeverity,HasExploit,HasCisaKevExploit,FindingStatus,Score,Severity,VendorSeverity,NvdSeverity,FirstDetected,LastDetected,ResolvedAt,ResolutionReason,Remediation,LocationPath,DetailedName,Version,FixedVersion,DetectionMethod,Link,Projects,AssetID,AssetName,AssetRegion,AssetType,ProviderUniqueId,CloudProviderURL,CloudPlatform,Status,SubscriptionExternalId,SubscriptionId,SubscriptionName,Tags,ExecutionControllers,ExecutionControllersSubscriptionExternalIds,ExecutionControllersSubscriptionNames,ExecutionControllersKubernetesClusterNames,CriticalRelatedIssuesCount,HighRelatedIssuesCount,MediumRelatedIssuesCount,LowRelatedIssuesCount,InfoRelatedIssuesCount,OperatingSystem,IpAddresses,ImageId
ef904fb4-98f5-5f60-9257-169210667cdb,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'ef904fb4-98f5-5f60-9257-169210667cdb*2cSECURITY_TOOL_FINDING)),CVE-2025-49844,Critical,true,false,Open,9.9,Critical,Critical,Critical,2026-01-05T21:12:44Z,2026-07-28T11:16:06Z,,,,,redis,6.0.16-r0,,Package,https://security.alpinelinux.org/vuln/CVE-2025-49844,Business Services Group; CMMI; MINT,9a40e739-4565-5c92-b585-9f8c8db4e2d8,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@66fbab53,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""213908434660"",""subscriptionName"":""aws-cms-cmmi-mint-impl"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""name"":""impl-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""696862279632"",""subscriptionName"":""aws-cms-cmmi-mint-test"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""name"":""test-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""859611602772"",""subscriptionName"":""aws-cms-cmmi-mint-prod"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""name"":""prod-mint-faktory""}]}]","213908434660,696862279632,859611602772","aws-cms-cmmi-mint-impl,aws-cms-cmmi-mint-prod,aws-cms-cmmi-mint-test",,0,0,3,0,0,,,sha256:66fbab5363f0d6ceb7b451f56ac274c965499f3b3adde75a86a31a51f08ced0b
bfff54d1-87e7-5500-9835-506b7b87464c,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'bfff54d1-87e7-5500-9835-506b7b87464c*2cSECURITY_TOOL_FINDING)),CVE-2025-49844,Critical,true,false,Open,9.9,Critical,Critical,Critical,2026-01-05T21:19:50Z,2026-07-27T16:00:37Z,,,,,redis,6.0.16-r0,,Package,https://security.alpinelinux.org/vuln/CVE-2025-49844,Business Services Group; CMMI; MINT,6335503e-68a4-53ea-9c48-d06fcc46e01c,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@69822a38,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""287978760228"",""subscriptionName"":""aws-cms-cmmi-mint-dev"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""name"":""dev-mint-faktory""}]}]",287978760228,aws-cms-cmmi-mint-dev,,0,0,1,0,0,,,sha256:69822a382009f41d0edf6dcf23664918b0cd270747d0af88bc9b501083142930
333a64eb-8917-55b6-baf7-bc2b178c10db,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'333a64eb-8917-55b6-baf7-bc2b178c10db*2cSECURITY_TOOL_FINDING)),CVE-2023-45853,Critical,false,false,Open,9.8,Critical,Critical,Critical,2026-01-05T21:12:44Z,2026-07-28T11:16:06Z,,,,,zlib,1.2.11-r3,,Package,https://security.alpinelinux.org/vuln/CVE-2023-45853,Business Services Group; CMMI; MINT,9a40e739-4565-5c92-b585-9f8c8db4e2d8,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@66fbab53,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""213908434660"",""subscriptionName"":""aws-cms-cmmi-mint-impl"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""name"":""impl-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""696862279632"",""subscriptionName"":""aws-cms-cmmi-mint-test"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""name"":""test-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""859611602772"",""subscriptionName"":""aws-cms-cmmi-mint-prod"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""name"":""prod-mint-faktory""}]}]","213908434660,696862279632,859611602772","aws-cms-cmmi-mint-impl,aws-cms-cmmi-mint-prod,aws-cms-cmmi-mint-test",,0,0,0,0,0,,,sha256:66fbab5363f0d6ceb7b451f56ac274c965499f3b3adde75a86a31a51f08ced0b
ec544c6f-fd2c-5d57-a7e2-5b6766a753d8,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'ec544c6f-fd2c-5d57-a7e2-5b6766a753d8*2cSECURITY_TOOL_FINDING)),CVE-2023-45853,Critical,false,false,Open,9.8,Critical,Critical,Critical,2026-01-05T21:19:51Z,2026-07-27T16:00:37Z,,,,,zlib,1.2.11-r3,,Package,https://security.alpinelinux.org/vuln/CVE-2023-45853,Business Services Group; CMMI; MINT,6335503e-68a4-53ea-9c48-d06fcc46e01c,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@69822a38,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""287978760228"",""subscriptionName"":""aws-cms-cmmi-mint-dev"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""name"":""dev-mint-faktory""}]}]",287978760228,aws-cms-cmmi-mint-dev,,0,0,0,0,0,,,sha256:69822a382009f41d0edf6dcf23664918b0cd270747d0af88bc9b501083142930
37a3e41f-8a83-5554-9904-84fad7994f6c,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'37a3e41f-8a83-5554-9904-84fad7994f6c*2cSECURITY_TOOL_FINDING)),End-of-Life Version of Operating System,Critical,false,false,Open,0,Critical,Critical,Critical,2026-01-05T21:12:44Z,2026-07-28T11:16:06Z,,,,,Linux Alpine,3.13.7,3.21.7,OS,,Business Services Group; CMMI; MINT,9a40e739-4565-5c92-b585-9f8c8db4e2d8,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@66fbab53,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""213908434660"",""subscriptionName"":""aws-cms-cmmi-mint-impl"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""name"":""impl-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""696862279632"",""subscriptionName"":""aws-cms-cmmi-mint-test"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""name"":""test-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""859611602772"",""subscriptionName"":""aws-cms-cmmi-mint-prod"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""name"":""prod-mint-faktory""}]}]","213908434660,696862279632,859611602772","aws-cms-cmmi-mint-impl,aws-cms-cmmi-mint-prod,aws-cms-cmmi-mint-test",,0,0,3,0,0,,,sha256:66fbab5363f0d6ceb7b451f56ac274c965499f3b3adde75a86a31a51f08ced0b
c87f335c-0da4-5e4c-ba58-adbb8396c984,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'c87f335c-0da4-5e4c-ba58-adbb8396c984*2cSECURITY_TOOL_FINDING)),End-of-Life Version of Operating System,Critical,false,false,Open,0,Critical,Critical,Critical,2026-01-05T21:19:51Z,2026-07-27T16:00:37Z,,,,,Linux Alpine,3.13.7,3.21.7,OS,,Business Services Group; CMMI; MINT,6335503e-68a4-53ea-9c48-d06fcc46e01c,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@69822a38,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""287978760228"",""subscriptionName"":""aws-cms-cmmi-mint-dev"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""name"":""dev-mint-faktory""}]}]",287978760228,aws-cms-cmmi-mint-dev,,0,0,1,0,0,,,sha256:69822a382009f41d0edf6dcf23664918b0cd270747d0af88bc9b501083142930
b3d76539-76e7-5403-84ef-1a76f205e6f5,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'b3d76539-76e7-5403-84ef-1a76f205e6f5*2cSECURITY_TOOL_FINDING)),CVE-2022-37434,Critical,true,false,Open,9.8,Critical,Critical,Critical,2026-01-05T21:12:44Z,2026-07-28T11:16:06Z,,,apk upgrade zlib,,zlib,1.2.11-r3,1.2.12-r2,Package,https://security.alpinelinux.org/vuln/CVE-2022-37434,Business Services Group; CMMI; MINT,9a40e739-4565-5c92-b585-9f8c8db4e2d8,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@66fbab53,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:service/impl-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""213908434660"",""subscriptionName"":""aws-cms-cmmi-mint-impl"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:213908434660:cluster/impl-mint-faktory"",""name"":""impl-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:service/test-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""696862279632"",""subscriptionName"":""aws-cms-cmmi-mint-test"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:696862279632:cluster/test-mint-faktory"",""name"":""test-mint-faktory""}]},{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:service/prod-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""859611602772"",""subscriptionName"":""aws-cms-cmmi-mint-prod"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:859611602772:cluster/prod-mint-faktory"",""name"":""prod-mint-faktory""}]}]","213908434660,696862279632,859611602772","aws-cms-cmmi-mint-impl,aws-cms-cmmi-mint-prod,aws-cms-cmmi-mint-test",,0,0,3,0,0,,,sha256:66fbab5363f0d6ceb7b451f56ac274c965499f3b3adde75a86a31a51f08ced0b
f44302aa-fe05-5c3c-93a5-cf9fe69f7a18,https://app.wiz.us/explorer/vulnerability-findings#~(entity~(~'f44302aa-fe05-5c3c-93a5-cf9fe69f7a18*2cSECURITY_TOOL_FINDING)),CVE-2022-37434,Critical,true,false,Open,9.8,Critical,Critical,Critical,2026-01-05T21:19:51Z,2026-07-27T16:00:37Z,,,apk upgrade zlib,,zlib,1.2.11-r3,1.2.12-r2,Package,https://security.alpinelinux.org/vuln/CVE-2022-37434,Business Services Group; CMMI; MINT,6335503e-68a4-53ea-9c48-d06fcc46e01c,132973650792.dkr.ecr.us-east-1.amazonaws.com/mint-faktory@69822a38,us-east-1,CONTAINER_IMAGE,,,AWS,Active,132973650792,27eb7e3c-c37f-5547-a773-d91e4e12b7dd,aws-cms-cmmi-mint-infra,{},"[{""objectType"":""CloudPlatform/ComputeInstanceGroup"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:service/dev-mint-faktory/mint-faktory"",""name"":""mint-faktory"",""subscriptionExternalId"":""287978760228"",""subscriptionName"":""aws-cms-cmmi-mint-dev"",""ancestorReferences"":[{""objectType"":""CloudPlatform/ContainerService"",""externalId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""providerUniqueId"":""arn:aws:ecs:us-east-1:287978760228:cluster/dev-mint-faktory"",""name"":""dev-mint-faktory""}]}]",287978760228,aws-cms-cmmi-mint-dev,,0,0,1,0,0,,,sha256:69822a382009f41d0edf6dcf23664918b0cd270747d0af88bc9b501083142930
